id,location,mode,required_skills,description
p3,Kolkata,DIGITAL,"Anroid, iOS Development","<p>XYZ is in process to Digital Upgrade process where they are upgrading several systems, Mobility is one of their primary focus areas. It is expected there would be several projects getting started as part of this Mobility Initiative</p>
"
p4,Kolkata,DIGITAL,"Java,Python,Groovy","<p>XYZ is in process to Digital Upgrade process where they are upgrading several systems, Cloud is one of their primary focus areas. It is expected there would be several projects getting started as part of this Cloud Initiative, several Migration are queued up</p>
"
p5,Kolkata,PHYGITAL,"Python,Groovy,Java","<p>DevOps is the one of the most sought after IT capability in todays world and is generally a TOP priority item for the CIO. For Banking customer Openbanking is the next gen banking that is taking the industry by storm. A large number of third party fintech companies or agregators are using Openbanking to create the next level of customer experience in Banking. The project requires understanding of CI, CD and Agile principles. The project will also require knowledge of Docker and Docker Compose , NLP, Neural Networks, Machine learning algorithms like CNN, RNN, LSTM, Seq-2-Seq, Attention oriented neural network, Partially Observable Markov Decisio process, Chaos Engineering , Reliability Engineering,</p>
"
p6,Kolkata,PHYGITAL,"Python,Groovy,Java","<p>This is a core asset being Developed within the DevOps XYZ Lab - where we are working to create a Digital Employee capable of perfoming DevOps work. This work may be consulting and implementation. The Bot will converse with the user in Natural Language and provide consultation on DevOps and related automation areas. It will help in predictive analytics and provide insights to the users. The Bot will also be able to generate and maintain DevOps infrastructre as directed.</p>
"
p7,Chennai,PHYGITAL,UI/UX Designing skills,"<p>The financial services and insurance industry is going thru a paradigm shift in differentiating their products and services using next gen interaction platforms. Primary among them is the use of conversational platforms powered by industry leading providers like Amazon Alexa etc. While there are many PoC and pilot implementation done in many other areas, the needs in the financial services and insurance are more functionally and regulation driven. Hence, platforms like Alexa need to be trained with more contextual data. These also need to be have capabilities around NLP, AI on the one hand and human-centric elements like tone, emotions etc. This assignment would involve &quot;training&quot; the conversation platforms by providing many logical and more human centric speech/voice based inputs and validate the responses of these conversational platforms. Further, there can be enhancements (like various languages, developing the &quot;core intelligence&quot;, interaction with applications etc.) which can be developed as a PoC</p>
"
p9,Chennai,DIGITAL,"ReactJS,MongoDB exposure to Machine Learning concepts and algorithms,Java,Python","<p>Companies need to be on top of latest industry, political, economic, technology trends and other external factors to proactively draw up action plans to tap into the market opportunities and mitigate risks. With plethora of data from diverse sources, companies will immensely benefit from an advisory system that scans relevant news feeds and advises the business owners on next best action to be taken.</p>
"
p10,Chennai,DIGITAL,"Android,Java,MongoDB exposure to Machine Learning concepts and algorithms","<p>While Personal Finance Management systems typically provide a view of spend patterns and saving goals, most of them do not offer automatic transaction categorization and multi-bank support.With Open Banking enabling a bank customer to authorize third parties to share their financial information and initiate payments on their behalf, it is important for banks and FinTechs to offer a holistic view to customers on their financial standing to offer personalized Sales and Service. The objective of this project is to provide insights to a customer on expected monthly expense, income and projected account balance, factoring in the accounts holdings and transactions with different banks. The solution will be powered by Machine learning algorithms and Big Data concepts to offer financial insights with a re-imagined experience for end customers. The project will involve evaluation of different algorithms (such as Neural Networks, XGBoost, SVM) and development of Mobile App screens in Android and iOS.</p>
"
p11,Chennai,PHYGITAL,"Java/Python,ReactJS,MongoDB,exposure to Machine Learning concepts and algorithms","<p>Banks and Financial Instituitions employ traditional credit scoring models to decide if a loan could be offered to applicants. These models look at historical repayment of credits, requiring the applicants to hold considerable credit history. Due to this, the start-up companies and those without a credit history find it extremely difficult to obtain a loan. With FinTechs using alternate lending models for scoring, banks are losing out significant revenue. It is imperative for banks and large financial instituitions to build alternate credit scoring models that factor in alternate data (such as bill payments, rent payments, recharge patterns). This project aims to build such models that leverage the power of data and artificial intelligence, which can be used by financial instituitions, for offering hyper-personalized credit products to the seeker. The project will involve evaluation of different algorithms (such as Neural Networks, XGBoost, SVM) and and development of User Interface using ReactJS.</p>
"
p12,Chennai,PHYGITAL,"Android/iOS,Java,MongoDB,exposure to Machine Learning concepts and algorithms","<p>A key aspect for financial instituitions in selling a product is to know when a customer is likely to abandon product application/transaction, as a significant amount of revenue is lost owing to abandonment. Hence, it is critical for financial instituitions to know in real-time, the situation a customer is in, in order to detect the likelihood of abandoning a product application/transaction. The project objective is to detect in real-time, such scenarios using knowledge about the customer and nudge the customer for improved sales conversion, hyper-personalized offers and service.</p>
"
p13,Chennai,PHYGITAL," Java/Python,ReactJS,MongoDB","<p>Open Banking is a global phenomenon which is driving banks to partner with FinTechs to offer innovative value propositions to their customers. There is a huge market potential to be tapped in the Small and Medium Enterprise segment. The project objective is to build functionalities for the SME segment (such as onboarding, invoicing and ERP) which will become a part of a Marketplace that benefits the SME segment.</p>
"
p15,Bangalore,PHYGITAL,"Python,Spark,WEKA,R","<p>For  regulations and compliance, data thoroughness needs to be examined and enhanced. To create a data model that can score existing data and enhance same using myriad association techniques.</p>
"
p20,Bangalore,PHYGITAL,"Big data tools,Python,IOT technologies,Structured and Unstructured database, Data modelling","<p>In modern days technology has disrupted many businesses. The potential of IoT analytics is often discussed in relation to the Industrial IoT. The IIoT makes it possible for organizations to collect and analyze data from sensors on manufacturing equipment, pipelines, weather stations, smart meters, delivery trucks and other types of machinery. IoT data can be thought of as a subset and a special case of big data and, as such, consists of heterogenous streams that must be combined and transformed to yield consistent, comprehensive, current and correct information for business reporting and analysis. Data integration is complex for IoT data. There are many types of devices, most of which are not designed for compatibility with other systems. Data integration and the analytics that rely on it are two of the biggest challenges to IoT development. Associates are required to to work on analysis of IOT data devices, sensors, connectors, systems, integration technologies and application of data in analytics.</p>
"
p21,Bangalore,PHYGITAL,Python,"<p>Even for companies with only one channel or limited products, managing orders can prove remarkably difficult. Surprise delays lead to stock-outs. Sudden drops in demand generate excess inventory. When your supply chain is complex, managing your orders to ensure goods reach your customers on time and as specified&mdash;without pushing inventory costs sky high&mdash;can seem nearly impossible. This solution discuss about Order Lifecycle Management (OLM) and typical topology and order capture flow. It also describes the Qualify Customer Order and Deliver Customer Order subflows and design considerations for product definition and mapping.OLM refers to the time a quote or order is created to the time when the goods and services are delivered and billed.</p>
"
p23,Pune,PHYGITAL,Associate expected to have knowledge of allocation and assignment problem,"<p>Many times sales personnel may be given too much or too little work. This can lead to under or over servicing of customers. Achieving an appropriate balance is an important factor in maintaining satisfaction among sales people, customers and the company as a whole. When more accounts assigned to sales personnel, the result can be an under-servicing of customers and less sale at end. When less accounts assigned to sales personnel caused to Over-servicing and raise costs and prices to organization. The main purpose of sales force allocation is to assign customer accounts to sales people effectively in optimized way to balance a field team&rsquo;s workload and maximize the sales potential within each territory.</p>
"
p24,Pune,PHYGITAL,Knowledge of basic optimization problem formulation,"<p>Route optimizer will help to plan traveling route when it is require to visit multiple locations while ensuring lesser travel cost, time. The route should adhere to many business objectives and constraint such as customer availability, visit times, travel time, cost should me minimum and should cover all or maximum customer. Customer satisfaction can be increased by ensuring sales personnel have enough time to properly cater for customers needs. Travel costs can be reduced by ensuring territories are geographically compact. Dynamic route planning based on run time execution requirements to optimized travel distances and reduced time and cost</p>
"
p25,Pune,PHYGITAL,Big data tools,"<p>The objective of project is leveraging the advanced analytics and commercial performance solutions to enhance the profitability of telecom industry and sustain higher returns through better pricing, promotions, and assortment. - Predict Future Demand, Recommend Customer-Centric Pricing and Optimize Packaging - Empower telecom companies to make big revenue decisions in pricing and inventory to drive millions in revenue uplift and eliminate wasted time. - Information and data flow starting from market and product segmentation to setting the right prices dynamically through the analytics algorithms. - Project challenges interns for intensive academic research and creating a knowledge base utilized for application. Modelling includes analytics approaches like: Customer segmentation-ML Algorithms Price elasticity-Linear/ Logistic regression Conjoint analysis A/B Testing Propensity models Linear/Non-linear optimization Sentiment analysis</p>
"
p26,Pune,PHYGITAL,Python,"<p>Digitization and automation technologies call for advanced planning methods in transport and logistics. The focus of this study line is on the application and development of optimization and simulation tools to analyse supply chains, logistics networks and terminals from the company perspective After designing agile distribution network, to enhance the supply chain efficiency reliable logistics &amp; transportation is essential to deliver their products to customers. By developing logistics &amp; transportation optimization platform we are planning to leverage data science for transportation operations management Dedicated fleet planning, optimal route planning,load consolidation, and optimizing use of consolidation and de-consolidation hubs. Expectation from interns during this development is as follows: Analyze the distribution schedule and fleet data Identify the factors and their magnitude responsible for the material distribution Identify the operational and business constraints on transportation Formulate the mathematical model to allocate of available fleet to a set of deliveries in order to meet customer demand, while satisfying a variety of constraints, Minimize total distance traveled subject to each customer is serviced each route starts and ends at the depot capacity restrictions on the vehicles. Perform what-if analysis for decision making Identify the best alternatives to take care of each demand segment and ideation of visualization Graphs and routes to visualize the plan</p>
"
p27,Pune,PHYGITAL,Python,"<p>Project is based on Inventory optimization to determine the right inventory, in the right quantities and at the right locations, to meet the supply and demand of parts and materials in the enterprise. -Perform a diagnostic assessment to define the state of the processes and identify gaps in governance, decision methods, analysis and reporting and data quality, using Six Sigma and Lean principles. Mapping business and functional key performance indicators (KPIs) for inventory decisions. The right frequency for data capture and detail of data granularity. Set up centralized data infrastructure to ensure data quality and to` enable consistent analysis and reporting at scale to harness the data into insights.</p>
"
p28,Bangalore,PHYGITAL,Basic programming skills,"<p>Project is a based on the end to end management of spare part inventory. - Project will provide the inventory classification on the basis of various criteria like cost, criticality etc. - Project will give the optimal safety stock at each level - Inventory reserves theories application - Inventory projection and Inventory turns - Project will give the optimal inventory replenishment planning at each level - Information and data flow starting from demad planing to manufacturing to maintenance. Designing the process and algorithm. - Project challenges interns for intensive acadamic research and creating a knowledge base utlized for application.</p>
"
p29,Bangalore,PHYGITAL,Basic programming skills,"<p>Project is based on end to end contract analysis. - Project involves the reading of contract files and extracting the key values like price, time etc. - Project involves the complete analysis of contract like life cycle of contract, revenue wise visibility etc. - Prediction of contract renewal</p>
"
p30,Bangalore,PHYGITAL,Programming skills and Digital skills,"<p>Project is based on retail industry or process industry where the no. of SKUs is very high. - Information and data flow starting from demad planing of various SKUs. Designing the process and algorithm. - Implement Classification techniques to classify the SKUs - Implement machine learning techniques for SKU rationalization</p>
"
p32,Bangalore,PHYGITAL,Python/R programming,"<p>In general, a warehouse management system designed to support and optimize warehouse functionality and distribution center management. These systems facilitate management in their daily planning, organizing, staffing, directing, and controlling the utilization of available resources, to move and store materials into, within, and out of a warehouse, while supporting staff in the performance of material movement and storage in and around a warehouse. This warehouse resource optimization performing descriptive/predictive/prescriptive modelling to identify risks and challenges that are part of warehouse operations such as prediction of quality rejections,identifying reasons for the quality of the products/parts that come into warehouse. Identification of over stocking/under stocking of items/commodities/products etc inorder to utilize effectively warehouse physical space utilization. Precriptive modelling helps to efficiently utilize resources such a human resources, equipment s, stocking bins and selves and racks within the warehouse which supplies materials to production shop floor</p>
"
p33,Bangalore,PHYGITAL,Python/R programming,"<p>Lead time variability is a problem in any supply chain / manufacturing environment. Just-in-time supplies don&rsquo;t always work out that way: There existing several unseen factors that are effecting the supplier shipping and also delivery performance. At the same time, demand variability and other logistics disruptions can effect the delivery performance . The supply chain Lead time analytics will help to study various parameters that effect suppliers/contractors, timely delivery of commodity/materials to manufacturing facilities for production purposes. This platform provides helps to identify various variability that causes not to have on-time delivery promises. This also helps to optimize parameters effectively in-order to reduce lead time variability in the inbound supply chain.</p>
"
p34,Bangalore,PHYGITAL,Python/R programming,"<p>The XYZ shall focus on capturing various quality metrics that are required to improve product quality delivered from the shop floor. Identifying root causes of quality issues and providing timely/immediate feedback to upstream that will enable to rectify or correct the quality issues. Predictive analytics will help us to predict potential quality issues that are likely to occur at different stages of the production line, this will interim help to address those concerns in a proactive way for a better productivity.</p>
"
